                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.4587,                 1.1827,                 1.4312,                0.64913,                0.62053,                0.57903,                 0.3276,                 1.6796,                 1.6475,                  1.701,               0.002179,               0.002179,               0.002179
                     81,                  1.475,                 1.2343,                 1.4966,                0.62686,                0.58973,                0.54869,                0.31391,                 1.7036,                 1.5947,                 1.7237,                0.00208,                0.00208,                0.00208
                     82,                 1.4675,                 1.2132,                 1.4702,                 0.6503,                0.58871,                0.55999,                0.31779,                 1.6821,                 1.5976,                 1.7032,               0.001981,               0.001981,               0.001981
                     83,                 1.4563,                  1.208,                   1.46,                0.62468,                0.61937,                0.56279,                0.32337,                 1.6781,                 1.6055,                 1.6855,               0.001882,               0.001882,               0.001882
                     84,                 1.4458,                   1.18,                 1.4466,                0.65265,                0.59597,                0.56804,                0.32129,                 1.7006,                 1.6109,                 1.7174,               0.001783,               0.001783,               0.001783
                     85,                 1.4704,                 1.1886,                 1.4466,                0.65824,                0.59483,                0.58661,                 0.3448,                 1.6821,                 1.6101,                 1.7274,               0.001684,               0.001684,               0.001684
                     86,                 1.4557,                 1.1863,                 1.4682,                0.67904,                0.55397,                0.55766,                0.32233,                 1.6668,                 1.6031,                 1.6942,               0.001585,               0.001585,               0.001585
                     87,                 1.4522,                 1.1602,                 1.4493,                0.62335,                0.62148,                0.55953,                0.32851,                 1.6504,                 1.6018,                 1.6862,               0.001486,               0.001486,               0.001486
                     88,                 1.4333,                 1.1668,                 1.4376,                0.64944,                0.60069,                 0.5518,                0.31945,                 1.6527,                 1.6154,                 1.6957,               0.001387,               0.001387,               0.001387
                     89,                 1.4103,                 1.1593,                 1.4352,                0.61309,                 0.6177,                0.55476,                0.32049,                  1.643,                 1.5428,                  1.668,               0.001288,               0.001288,               0.001288
                     90,                 1.4144,                 1.1334,                 1.4513,                0.63676,                0.60224,                 0.5585,                0.32399,                 1.6677,                 1.6355,                  1.704,               0.001189,               0.001189,               0.001189
                     91,                 1.3938,                 1.1271,                 1.4309,                0.66059,                 0.5798,                0.55778,                0.31773,                 1.6506,                 1.6934,                 1.6884,                0.00109,                0.00109,                0.00109
                     92,                 1.3765,                 1.0865,                 1.4082,                0.66047,                0.57967,                0.56131,                0.32442,                 1.6569,                 1.6804,                 1.7093,               0.000991,               0.000991,               0.000991
                     93,                 1.3741,                 1.0813,                 1.4294,                0.64317,                0.61809,                0.57205,                 0.3357,                 1.6466,                 1.6804,                 1.6929,               0.000892,               0.000892,               0.000892
                     94,                 1.3628,                  1.056,                  1.417,                0.61424,                0.62385,                0.57475,                0.33905,                 1.6342,                 1.6415,                  1.687,               0.000793,               0.000793,               0.000793
                     95,                 1.3516,                 1.0702,                 1.4184,                0.65259,                0.60824,                0.57487,                0.34157,                  1.622,                 1.5859,                 1.6773,               0.000694,               0.000694,               0.000694
                     96,                 1.3582,                 1.0481,                  1.416,                0.67101,                0.60592,                0.58336,                0.34409,                 1.6358,                 1.5826,                 1.6922,               0.000595,               0.000595,               0.000595
                     97,                 1.3429,                 1.0454,                 1.3971,                0.66556,                0.60165,                0.57723,                0.33794,                 1.6374,                 1.6016,                 1.6828,               0.000496,               0.000496,               0.000496
                     98,                 1.3433,                 1.0339,                 1.3922,                0.63921,                0.63401,                0.58466,                0.34354,                 1.6382,                 1.6007,                 1.6865,               0.000397,               0.000397,               0.000397
                     99,                 1.3252,                 1.0268,                 1.3882,                0.63894,                0.62814,                0.58364,                 0.3442,                 1.6399,                 1.5767,                 1.6942,               0.000298,               0.000298,               0.000298
